# Coulthard - Gunn Creek - PIPO - ITRDB CANA639
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35013
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35013.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana639-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana639-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana639.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana639.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-11-29
#--------------------
# File_Last_Modified_Date
#   Date: 2021-11-29
#--------------------
# Title
#   Study_Name: Coulthard - Gunn Creek - PIPO - ITRDB CANA639
#--------------------
# Investigators
#   Investigators: Coulthard, B.L.; Brice, B.L.(https://orcid.org/0000-0003-0023-5988); Homfeld, I.K.; Dye, L.A.(https://orcid.org/0000-0002-1311-9815); Anchukaitis, K.J.(https://orcid.org/0000-0002-8509-8080)
#--------------------
# Description_Notes_and_Keywords
#   Description: Fraser River Basin, British Columbia, Canada Tree-Ring Data NOAA Template Raw Measurements file added 2021-12-29.
#--------------------
# Publication
#   Authors: Becky L. Brice, Bethany Lynn Coulthard, Inga K. Homfeld, Laura Dye and Kevin J. Anchukaitis
#   Journal_Name: Environmental Research Letters
#   Published_Title: Paleohydrological context for recent floods and droughts in the Fraser River Basin, British Columbia, Canada
#   Published_Date_or_Year: 2021
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.1088/1748-9326/ac3daf
#   Full_Citation: None
#   Abstract: The recent intensification of floods and droughts in the Fraser River Basin of British Columbia has had profound cultural, ecological, and economic impacts that are expected to be exacerbated further by anthropogenic climate change. In part due to short instrumental runoff records, the long-term stationarity of hydroclimatic extremes in this major North American watershed remains poorly understood, highlighting the need to use high-resolution paleoenvironmental proxies to inform on past streamflow. Here we use a network of tree-ring proxy records to develop 11 subbasin-scale, complementary flood- and drought-season reconstructions, the first of their kind. The reconstructions explicitly target management-relevant flood and drought seasons within each basin, and are examined in tandem to provide an expanded assessment of extreme events across the Fraser River Basin with immediate implications for water management. We find that past high flood-season flows have been of greater magnitude and occurred in more consecutive years than during the observational record alone. Early 20th century low flows in the drought season were especially severe in both duration and magnitude in some subbasins relative to recent dry periods. Our Fraser subbasin-scale reconstructions provide long-term benchmarks for the natural flood and drought variability prior to anthropogenic forcing. These reconstructions demonstrate that the instrumental streamflow records upon which current management is based likely underestimate the full natural magnitude, duration, and frequency of extreme seasonal flows in the Fraser River Basin, as well as the potential severity of future anthropogenically forced events.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: AGS-1803995
#--------------------
# Site_Information
#   Site_Name: Gunn Creek
#   Location: British Columbia
#   Northernmost_Latitude: 50.89345
#   Southernmost_Latitude: 50.89345
#   Easternmost_Longitude: -122.777088
#   Westernmost_Longitude: -122.777088
#   Elevation_m: 727
#--------------------
# Data_Collection
#   Collection_Name: CANA639
#   First_Year: 1900
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CLC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC06C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC06C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CLC12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CLC12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CLC01B_raw	CLC02A_raw	CLC02B_raw	CLC03A_raw	CLC03B_raw	CLC04B_raw	CLC05A_raw	CLC05B_raw	CLC06A_raw	CLC06B_raw	CLC06C_raw	CLC07A_raw	CLC07B_raw	CLC08A_raw	CLC08B_raw	CLC09A_raw	CLC09B_raw	CLC10A_raw	CLC10B_raw	CLC11A_raw	CLC11B_raw	CLC12A_raw	CLC12B_raw
1949	0.454	0.349	0.435	0.297	0.212	0.514	0.507	0.817	0.403	0.618	0.941	0.344	0.29	1.001	1.408	0.488	0.307	0.602	0.549	0.226	0.45	0.45	1.652
1950	0.413	0.301	0.264	0.42	0.226	0.424	0.444	0.587	0.659	0.491	0.805	0.421	0.296	1.013	1.343	0.471	0.365	0.623	0.516	0.224	0.351	0.388	1.341
1951	0.346	0.253	0.241	0.209	0.076	0.343	0.381	0.527	0.279	0.278	0.419	0.349	0.31	0.582	1.202	0.408	0.29	0.426	0.256	0.258	0.43	0.277	1.099
1952	0.31	0.336	0.272	0.349	0.186	0.446	0.401	0.679	0.399	0.44	0.601	0.428	0.426	0.848	0.973	0.418	0.375	0.533	0.428	0.331	0.502	0.31	1.518
1953	0.44	0.221	0.3	0.325	0.171	0.389	0.449	0.734	0.541	0.332	0.518	0.201	0.278	0.622	1.141	0.357	0.291	0.483	0.328	0.316	0.355	0.284	1.125
1954	0.426	0.23	0.232	0.336	0.208	0.418	0.476	0.561	0.561	0.462	0.567	0.545	0.235	1.053	0.852	0.363	0.253	0.432	0.49	0.424	0.439	0.261	1.092
1955	0.354	0.268	0.287	0.416	0.235	0.393	0.618	0.634	0.468	0.589	0.767	0.628	0.503	0.879	1.163	0.592	0.335	0.697	0.515	0.35	0.498	0.33	1.319
1956	0.35	0.306	0.304	0.205	0.115	0.338	0.468	0.903	0.437	0.349	0.634	0.46	0.427	0.809	1.175	0.56	0.241	0.534	0.369	0.264	0.542	0.399	0.981
1957	0.423	0.26	0.324	0.306	0.218	0.43	0.542	0.846	0.611	0.493	0.704	0.451	0.299	0.472	0.545	0.415	0.375	0.616	0.417	0.163	0.354	0.399	1.076
1958	0.23	0.187	0.152	0.388	0.186	0.439	0.704	0.653	0.365	0.28	0.857	0.294	0.579	0.613	0.73	0.446	0.29	0.704	0.585	0.218	0.386	0.361	0.955
1959	0.504	0.395	0.284	0.272	0.232	0.523	0.542	0.705	0.62	0.592	0.726	0.358	0.643	0.639	0.926	0.489	0.317	0.752	0.476	0.261	0.488	0.46	1.24
1960	0.629	0.246	0.193	0.265	0.177	0.701	0.642	0.747	0.637	0.667	0.717	0.408	0.618	0.657	0.855	0.421	0.282	0.804	0.427	0.269	0.486	0.362	1.17
1961	0.315	0.292	0.3	0.276	0.192	0.887	0.601	0.9	0.571	0.407	0.951	0.324	0.351	0.795	0.823	0.468	0.335	0.671	0.441	0.204	0.446	0.311	1.225
1962	0.742	0.298	0.31	0.236	0.161	0.757	0.54	0.878	0.737	0.843	0.835	0.379	0.517	0.869	1.327	0.483	0.298	0.939	0.527	0.366	0.604	0.404	1.273
1963	0.656	0.449	0.364	0.376	0.193	1.13	0.613	0.798	0.658	0.633	0.765	0.463	0.579	0.934	1.319	0.45	0.356	1.029	0.631	0.203	0.719	0.448	1.628
1964	0.636	0.311	0.274	0.299	0.144	0.704	0.472	0.657	0.783	0.477	0.636	0.452	0.475	0.695	1.176	0.451	0.457	1.056	0.46	0.337	0.672	0.396	1.324
1965	0.391	0.392	0.252	0.243	0.222	1.002	0.658	1.194	0.604	0.643	0.79	0.389	0.401	0.939	1.025	0.497	0.324	0.581	0.527	0.203	0.343	0.368	1.635
1966	0.713	0.372	0.279	0.342	0.215	0.841	0.617	1.139	0.912	0.542	1.048	0.709	0.653	1.237	1.954	0.592	0.592	0.715	0.773	0.271	0.772	0.505	1.82
1967	0.513	0.331	0.297	0.383	0.231	0.953	0.497	0.973	0.528	0.658	0.494	0.561	0.434	0.793	1.835	0.486	0.5	0.506	0.527	0.287	0.392	0.381	1.602
1968	0.589	0.389	0.213	0.43	0.229	0.864	0.609	0.728	0.693	0.769	0.9	0.522	0.613	0.727	1.456	0.554	0.395	0.699	0.708	0.417	0.418	0.374	1.34
1969	0.523	0.363	0.26	0.16	0.182	0.921	0.597	0.825	0.653	0.384	0.446	0.401	0.652	0.876	0.88	0.444	0.448	0.659	0.592	0.416	0.515	0.307	1.365
1970	0.446	0.19	0.135	0.155	0.13	0.608	0.467	0.674	0.413	0.337	0.293	0.337	0.528	0.937	1.374	0.384	0.329	0.745	0.749	0.245	0.673	0.453	1.484
1971	0.482	0.288	0.237	0.197	0.171	0.918	0.539	0.761	0.398	0.352	0.374	0.193	0.326	0.558	1.325	0.281	0.276	0.597	0.356	0.264	0.34	0.402	1.505
1972	0.706	0.199	0.215	0.233	0.15	0.947	0.407	0.916	0.379	0.332	0.543	0.323	0.351	0.864	1.198	0.422	0.336	0.666	0.514	0.24	0.554	0.336	0.902
1973	0.362	0.192	0.191	0.133	0.159	0.649	0.413	0.372	0.316	0.376	0.338	0.317	0.34	0.762	0.994	0.298	0.336	0.67	0.489	0.278	0.798	0.267	0.727
1974	0.479	0.237	0.214	0.257	0.182	0.454	0.407	0.494	0.403	0.276	0.378	0.318	0.486	0.655	0.916	0.253	0.252	0.365	0.41	0.296	0.352	0.267	0.786
1975	0.601	0.161	0.119	0.216	0.192	0.595	0.4	0.561	0.394	0.275	0.408	0.285	0.487	0.594	0.586	0.31	0.291	0.501	0.482	0.275	0.447	0.167	0.655
1976	0.865	0.243	0.33	0.304	0.226	0.604	0.471	0.71	0.478	0.412	0.551	0.454	0.575	0.747	0.993	0.406	0.334	0.678	0.615	0.4	0.604	0.258	0.813
1977	0.61	0	0.05	0.086	0.084	0.404	0.209	0.273	0.342	0.148	0.359	0.217	0.205	0.857	0.743	0.27	0.263	0.641	0.544	0.214	0.293	0.068	0.567
1978	0.536	0.27	0.205	0.18	0.162	0.465	0.446	0.476	0.4	0.274	0.499	0.249	0.29	0.777	0.765	0.287	0.33	0.676	0.489	0.203	0.364	0.314	0.836
1979	0.468	0.139	0.081	0	0	0.275	0.181	0.252	0.207	0.218	0.229	0.122	0.214	0.627	0.533	0.149	0.195	0.489	0.265	0.146	0.244	0.187	0.627
1980	0.786	0.207	0.178	0.242	0.197	0.254	0.327	0.347	0.418	0.352	0.312	0.237	0.242	0.623	0.53	0.236	0.231	0.739	0.535	0.238	0.297	0.243	0.721
1981	0.68	0.192	0.359	0.248	0.158	0.468	0.527	0.419	0.581	0.627	0.639	0.353	0.296	1.084	0.983	0.345	0.335	0.882	0.736	0.281	0.375	0.24	0.822
1982	0.308	0.301	0.317	0.206	0.137	0.34	0.385	0.607	0.405	0.394	0.474	0.29	0.328	0.906	0.877	0.276	0.238	0.679	0.655	0.314	0.363	0.286	0.711
1983	0.959	0.384	0.199	0.327	0.197	0.585	0.569	0.622	0.598	0.597	0.69	0.27	0.309	0.931	1.055	0.376	0.365	0.838	0.76	0.42	0.643	0.459	1.245
1984	0.683	0.337	0.284	0.266	0.151	0.556	0.401	0.421	0.479	0.676	0.677	0.299	0.242	1.228	1.327	0.328	0.353	0.713	0.664	0.424	0.542	0.558	1.474
1985	0.595	0.157	0.236	0.241	0.167	0.545	0.363	0.41	0.388	0.317	0.34	0.188	0.181	1.044	1.12	0.253	0.28	0.773	0.541	0.233	0.36	0.494	0.978
1986	0.66	0.283	0.297	0.085	0.036	0.535	0.501	0.512	0.459	0.415	0.601	0.217	0.141	1.05	1.306	0.28	0.174	0.837	0.543	0.337	0.493	0.637	1.25
1987	0.476	0.255	0.202	0.214	0.15	0.497	0.486	0.553	0.335	0.406	0.5	0.261	0.175	1.035	1.346	0.254	0.307	0.874	0.646	0.289	0.681	0.655	1.17
1988	0.482	0.11	0.097	0.104	0.095	0.322	0.276	0.295	0.223	0.203	0.233	0.053	0.086	0.586	0.766	0.169	0.185	0.635	0.492	0.229	0.317	0.622	1.109
1989	0.361	0.249	0.184	0.199	0.124	0.306	0.354	0.364	0.34	0.291	0.285	0.158	0.17	0.474	0.421	0.178	0.182	0.593	0.396	0.186	0.395	0.504	1.259
1990	0.541	0.242	0.173	0.167	0.077	0.429	0.408	0.424	0.255	0.426	0.437	0.207	0.283	0.535	0.547	0.258	0.294	0.882	0.638	0.187	0.512	0.499	2.284
1991	0.767	0.263	0.312	0.142	0.101	0.527	0.363	0.44	0.428	0.529	0.394	0.327	0.183	0.862	0.682	0.248	0.378	0.787	0.641	0.272	0.285	0.55	2.683
1992	0.792	0.27	0.185	0.334	0.266	0.646	0.397	0.615	0.559	0.414	0.533	0.459	0.366	0.919	0.976	0.374	0.463	1.009	0.885	0.361	0.754	0.572	3.503
1993	0.531	0.176	0.126	0.135	0.153	0.374	0.275	0.283	0.324	0.453	0.239	0.116	0.122	0.586	0.468	0.23	0.196	0.681	0.447	0.207	0.337	0.519	1.893
1994	0.534	0.238	0.19	0.345	0.225	0.533	0.353	0.464	0.318	0.468	0.314	0.237	0.217	0.68	0.619	0.349	0.388	0.83	0.696	0.324	0.601	0.758	2.108
1995	0.235	0.126	0.084	0.238	0.136	0.439	0.334	0.478	0.291	0.183	0.372	0.136	0.207	0.69	0.676	0.173	0.305	0.587	0.429	0.243	0.385	0.403	1.708
1996	0.324	0.191	0.258	0.149	0.119	0.493	0.323	0.406	0.241	0.277	0.298	0.212	0.191	0.756	0.83	0.139	0.25	0.579	0.454	0.32	0.561	0.703	1.353
1997	0.771	0.202	0.251	0.208	0.154	0.589	0.39	0.616	0.353	0.527	0.481	0.264	0.193	1.319	1.118	0.357	0.383	0.767	0.541	0.367	0.633	0.816	1.878
1998	0.608	0.191	0.211	0.313	0.14	0.41	0.34	0.498	0.361	0.251	0.283	0.231	0.349	0.601	1.003	0.3	0.436	0.438	0.63	0.274	0.634	0.723	1.317
1999	0.61	0.228	0.251	0.277	0.183	0.369	0.491	0.478	0.363	0.344	0.47	0.303	0.286	1.11	1.141	0.354	0.289	0.633	0.657	0.377	0.503	0.723	1.295
2000	0.6	0.149	0.225	0.271	0.15	0.501	0.316	0.487	0.365	0.378	0.445	0.248	0.17	0.952	1.199	0.306	0.355	0.487	0.537	0.373	0.595	0.725	1.25
2001	0.621	0.062	0.03	0.117	0.033	0.369	0.143	0.264	0.198	0.189	0.213	0.228	0.142	0.705	0.701	0.089	0.173	0.517	0.464	0.172	0.501	0.753	1.075
2002	0.729	0.271	0.26	0.312	0.214	0.299	0.426	0.517	0.329	0.316	0.347	0.23	0.181	0.814	1.117	0.233	0.377	0.499	0.416	0.191	0.371	0.576	1.125
2003	0.531	0.209	0.218	0.25	0.129	0.358	0.374	0.478	0.354	0.326	0.331	0.237	0.201	0.506	0.964	0.253	0.301	0.476	0.464	0.209	0.434	0.83	1.029
2004	0.552	0.191	0.231	0.174	0.167	0.29	0.34	0.495	0.256	0.23	0.336	0.172	0.136	0.73	0.788	0.189	0.288	0.361	0.343	0.274	0.361	1.322	1.274
2005	0.683	0.26	0.198	0.345	0.264	0.259	NA	0.405	0.441	0.303	0.231	0.166	0.204	1.106	1.06	0.216	0.378	0.638	0.534	0.469	0.406	1.324	1.134
2006	0.638	0.324	0.244	0.268	0.166	0.321	NA	0.435	0.308	0.342	0.383	0.353	0.241	0.729	1.017	0.31	0.464	0.649	0.494	0.287	0.541	0.958	1.186
2007	0.409	0.291	0.237	0.167	0.19	0.372	NA	0.546	0.305	0.315	0.365	0.344	0.199	0.473	0.968	0.259	0.434	0.554	0.468	0.282	0.383	0.955	1.617
2008	0.34	0.269	0.192	0.204	0.17	0.419	NA	0.615	0.379	0.291	0.478	0.16	0.161	0.856	0.954	0.232	0.371	0.563	0.347	0.302	0.272	0.831	2.018
2009	0.295	0	0	0	0	0	NA	0	0	0.047	0.062	0	0	0.134	0.227	0	0	0.125	0.103	0	0.079	0.256	0.655
2010	0.685	0.284	0.295	0.214	0.211	0.253	NA	0.507	0.313	0.424	0.387	0.321	0.348	0.737	0.83	0.225	0.339	0.456	0.424	0.428	0.333	0.82	1.81
2011	0.407	0.536	0.418	0.287	0.199	0.371	NA	0.69	0.445	0.622	0.484	0.307	0.337	0.874	1.095	0.307	0.445	0.517	0.464	0.414	0.29	0.802	1.505
2012	0.373	0.421	0.413	0.18	0.117	0.41	NA	0.359	0.42	0.254	0.632	0.259	0.245	0.687	1.118	0.27	0.408	0.533	0.406	0.265	0.348	0.784	1.368
2013	0.587	0.37	0.501	0.191	0.133	0.436	NA	0.563	0.361	0.482	0.409	0.19	0.167	0.812	1.056	0.264	0.377	0.526	0.415	0.21	0.153	0.858	1.149
2014	0.41	0.298	0.195	0.124	0.071	0.271	NA	0.3	0.702	0.667	0.519	0.221	0.19	0.802	0.97	0.191	0.269	0.666	0.495	0.179	NA	0.975	1.518
2015	0.562	0.322	0.347	0.219	0.191	0.292	NA	0.43	0.555	0.345	0.381	0.162	0.219	0.911	0.887	0.228	0.466	0.653	0.616	0.234	NA	1.013	1.256
2016	0.643	0.492	0.432	0.352	0.218	0.35	NA	0.754	0.428	0.555	0.523	0.345	0.343	1.17	1.007	0.22	0.379	0.779	0.628	0.289	NA	0.988	1.132
2017	0.407	0.222	0.299	0.125	0.1	0.404	NA	0.315	0.315	0.306	0.288	0.383	0.221	0.973	1.037	0.317	0.344	0.584	0.618	0.312	NA	0.885	0.932
2018	0.45	0.359	0.348	0.23	0.175	0.411	NA	0.608	0.377	0.355	0.439	0.232	0.252	0.72	0.792	0.27	0.321	0.397	0.41	0.319	NA	0.694	0.81
